Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
300,1172,312,300,160,158,15,44,30.074059561128525,30.0,4.4321337809515455
502,176,352,300,160,152,14,47,30.22296238244514,30.0,4.714586449898786
720,267,246,300,160,153,17,47,29.858934169278996,30.0,4.63871943388064
957,579,192,300,160,144,16,46,30.309561128526646,30.0,4.419049259638997
1249,938,225,300,160,146,15,45,29.778605015673982,30.0,4.464678155486144
1470,1238,216,300,160,163,15,46,29.774294670846395,30.0,4.452905506432766
1582,134,166,300,160,135,17,47,30.963166144200628,31.0,4.331870375174877
1573,176,367,300,160,151,16,46,29.147727272727273,29.0,4.187667875181826
1430,372,193,300,160,127,17,49,33.07797805642633,33.0,4.869595805594475
1207,625,220,300,160,139,16,48,29.647335423197493,29.0,4.689605405163991
951,811,309,300,160,151,18,47,30.95689655172414,31.0,4.480769543031911
663,183,273,300,160,151,15,44,28.731974921630094,29.0,4.158717797259079
407,280,401,300,160,164,14,47,31.352272727272727,31.0,5.419556585256053
154,537,345,300,160,172,16,47,30.396159874608152,30.0,4.674200615895471
217,805,196,300,160,152,14,43,29.015282131661444,29.0,4.259343592123348
362,929,215,300,160,155,17,52,31.009012539184955,31.0,4.9767009155642015
516,153,216,300,160,150,17,50,30.87460815047022,31.0,4.748777874794124
685,266,398,300,160,149,15,45,28.849137931034484,29.0,4.027283426333693
854,513,256,300,160,164,13,43,28.971003134796238,29.0,4.297510316274467
1028,802,211,300,160,158,15,49,30.086598746081506,30.0,4.66158270566488
1168,849,344,300,160,152,16,47,30.560344827586206,30.0,4.879131032295631
1147,438,292,300,160,158,14,49,28.82523510971787,28.0,4.8696188393598305
1037,337,340,300,160,152,17,48,31.50862068965517,31.0,4.79745762512824
895,126,226,300,160,150,14,51,28.427507836990596,28.0,4.731530208626205
675,52,349,300,160,132,18,47,30.941614420062695,31.0,4.453094999424406
450,71,186,300,160,171,17,44,30.05564263322884,30.0,3.9787887223048677
269,693,135,300,160,149,14,43,28.67476489028213,29.0,4.214751247644356
79,665,409,300,160,169,14,45,30.779780564263323,31.0,4.199951330005919
124,484,328,300,160,161,15,44,27.905564263322884,28.0,4.407186395307806
232,371,310,300,160,138,13,49,29.974137931034484,30.0,4.777506280802433
338,321,182,300,160,156,18,48,31.320532915360502,31.0,4.835937020199564
450,610,252,300,160,156,11,48,27.482758620689655,27.0,5.249841070116813
531,612,263,300,160,154,14,47,31.766849529780565,32.0,4.520515559195918
659,489,265,300,160,156,15,50,29.71630094043887,29.0,5.133660275248116
736,373,129,300,160,148,14,46,29.438087774294672,29.0,4.048985798760631
754,285,260,300,160,163,17,51,30.94945141065831,31.0,4.5890048176365115
667,600,339,300,160,156,16,47,29.317398119122256,29.0,4.333062886985024
581,491,281,300,160,143,14,42,29.030956112852664,29.0,4.210867902254466
434,308,305,300,160,159,15,48,29.447100313479623,29.0,5.083582684331248
266,205,211,300,160,151,16,47,30.269592476489027,30.0,4.575666540006521
155,181,301,300,160,154,15,46,29.434561128526646,29.0,4.712713400723673
52,542,246,300,160,156,17,49,31.6230407523511,31.0,5.129413200556016
73,499,293,300,160,133,16,48,30.101880877742946,30.0,4.442047196524899
151,297,296,300,160,171,16,47,30.06935736677116,30.0,5.130839961378602
