Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
497,297,479,300,640,406,91,146,116.82484326018809,117.0,6.992626684836611
700,603,357,300,640,404,97,148,121.33307210031347,121.0,7.282232659409704
904,869,354,300,640,385,96,145,120.68691222570533,121.0,7.612964391699614
1106,1000,376,300,640,412,98,155,122.93025078369907,123.0,6.723362179495365
1226,241,407,300,640,387,88,141,117.55721003134796,118.0,7.202121316926273
1275,356,331,300,640,426,96,150,120.82170846394985,120.0,8.998124964709257
1140,499,550,300,640,384,91,146,120.74921630094043,121.0,7.470146919378564
960,588,29,300,640,413,97,148,120.77311912225706,121.0,7.288975764848133
713,606,328,300,640,390,95,141,121.0807210031348,121.0,6.723589090943434
462,204,517,300,640,392,94,142,119.52155172413794,120.0,6.632032987100973
264,315,441,300,640,377,97,145,120.38989028213166,120.0,7.298845272213352
75,500,780,300,640,415,92,147,120.15242946708464,120.0,7.233772915064303
105,608,511,300,640,427,96,146,120.05916927899686,120.0,7.321332291320615
205,625,415,300,640,414,93,156,118.71747648902821,118.0,8.236685383598271
331,175,342,300,640,403,92,147,119.73354231974922,120.0,8.68575403684953
459,256,272,300,640,401,89,146,116.94200626959248,117.0,9.419461797347278
588,377,293,300,640,419,98,143,120.02155172413794,120.0,6.525805258300939
729,475,437,300,640,409,95,146,122.358934169279,122.0,7.793153099204535
832,503,516,300,640,415,94,145,118.96238244514106,119.0,7.223112196958356
847,405,340,300,640,427,98,146,121.35540752351098,121.0,7.165712216781839
767,541,427,300,640,384,94,146,120.67672413793103,121.0,7.123141494777506
645,581,265,300,640,405,97,142,119.09326018808777,119.0,7.075826548615735
451,500,69,300,640,378,94,144,122.05289968652038,122.0,7.437404896320898
287,335,561,300,640,379,93,141,119.76567398119123,120.0,6.998988760385775
159,430,444,300,640,381,97,145,119.20963949843261,119.0,7.42514480792314
31,565,572,300,640,405,100,143,121.40399686520377,121.5,7.220347403480626
60,606,325,300,640,399,92,146,119.52547021943573,119.0,7.558972549326014
128,593,256,300,640,409,94,144,119.19592476489028,119.0,7.495297313986997
202,427,569,300,640,381,95,149,117.58738244514106,117.0,7.440951293874389
266,413,362,300,640,365,89,143,117.71042319749216,118.0,7.033924811476575
321,547,287,300,640,422,95,143,118.76097178683385,119.0,6.6231460051454105
432,688,403,300,640,431,90,144,118.25940438871473,118.0,7.429455965694099
478,652,498,300,640,401,94,151,119.38989028213166,119.0,7.359633695941137
509,466,468,300,640,415,94,151,121.10344827586206,121.0,7.244246708005385
472,380,453,300,640,374,99,146,121.90086206896552,122.0,7.36700041954675
388,538,360,300,640,392,94,147,118.3832288401254,118.0,6.8138942217261915
274,674,453,300,640,408,95,148,120.2782131661442,120.0,6.7721674969390575
161,646,273,300,640,389,97,144,120.12186520376176,120.0,6.8819279690484745
95,403,180,300,640,393,94,150,121.76136363636364,122.0,7.578783453962996
21,411,430,300,640,422,94,143,117.1896551724138,117.0,7.429454188314667
34,572,458,300,640,420,95,147,119.0184169278997,119.0,7.563216711404169
74,735,422,300,640,385,91,150,120.23236677115987,120.0,9.245120853842637
144,598,310,300,640,404,98,146,120.34012539184953,120.0,7.719534394608482
183,338,290,300,640,382,93,146,118.3832288401254,118.0,8.321592616871756
232,513,382,300,640,403,96,150,121.87891849529781,122.0,7.932848699270647
273,712,405,300,640,417,94,146,119.50470219435736,119.5,7.620658062137845
346,747,356,300,640,393,95,144,121.20963949843261,121.0,7.583517301772105
381,650,363,300,640,379,90,142,115.58346394984326,116.0,8.01693500879362
343,484,368,300,640,384,88,148,116.8667711598746,117.0,8.393503566078731
281,555,390,300,640,379,96,147,120.86912225705329,121.0,7.263574656078524
207,751,428,300,640,394,99,142,119.83542319749216,120.0,6.738303396100125
111,908,306,300,640,393,97,149,123.75666144200628,124.0,7.488493962879782
69,692,463,300,640,384,99,146,120.6351880877743,121.0,6.909665669684558
25,406,378,300,640,409,92,147,118.9032131661442,119.0,7.466725918711346
43,422,255,300,640,381,95,141,119.65282131661442,120.0,6.945048519393099
87,512,364,300,640,406,96,140,120.32327586206897,120.0,6.685333963921815
149,638,356,300,640,412,97,146,119.56426332288402,119.0,6.780754297718032
211,579,355,300,640,393,98,144,121.38557993730407,121.5,7.0090232188126285
270,392,324,300,640,398,95,144,118.11520376175548,118.0,7.535655322135543
323,474,379,300,640,386,91,142,118.39615987460814,119.0,7.299312952563123
370,639,194,300,640,413,95,141,118.04036050156739,118.0,7.293737460289553
411,746,571,300,640,390,92,141,116.85188087774294,117.0,7.257198646790374
380,631,341,300,640,392,94,141,118.58738244514106,119.0,6.75119035465842
321,469,456,300,640,387,90,142,119.15830721003135,119.0,7.16924935536595
230,430,386,300,640,391,92,145,118.91496865203762,119.0,7.640854661096189
126,589,369,300,640,396,93,140,118.15047021943573,118.0,7.225819568113454
68,705,19,300,640,377,94,140,117.79271159874608,118.0,7.09859318802769
17,629,462,300,640,394,95,143,121.78879310344827,122.0,7.087428699136542
40,514,337,300,640,367,93,142,120.23471786833856,120.0,7.702806657725166
86,399,414,300,640,386,96,144,119.53213166144201,120.0,7.28041574704013
162,634,194,300,640,392,97,150,123.29937304075236,124.0,8.435335789940657
210,678,316,300,640,377,95,147,120.45807210031347,120.0,7.182395146812676
